"id_tree";"species";"x";"y";"z";"dbh_cm";"crown_type";"h_m";"hbase_m";"hmax_m";"rn_m";"rs_m";"re_m";"rw_m";"crown_openness";"crown_lad";"added_to_fill"
105;"picea";152.014975448039;23.9324022511361;0;50.6112719;"8E";33.8;12.5;22.9;3.84;3.41;3.36;3.48;0.035;0.6;FALSE
111;"abies";155.954863341096;45.9607313614009;0;34.69577759;"8E";26.4;6.2;22.9;3.36;4.23;4.5;4.02;0.035;0.6;FALSE
303;"picea";109.048588769138;62.0025955230276;0;80.5324012;"8E";39.7;11;22.6;5.57;4.4;3.09;5.87;0.035;0.6;FALSE
220;"picea";136.965746570582;26.9935638270596;0;44.88169395;"8E";32.8;7.6;22.6;2.32;2.67;2.41;2.84;0.035;0.6;FALSE
209;"picea";137.001319470587;52.9723770133617;0;37.56056657;"8E";30.8;13.7;22.6;2.23;1.63;2.41;1.89;0.035;0.6;FALSE
202;"picea";142.027316119102;67.0119410268599;0;91.03662745;"8E";36.6;6.5;22.5;3.9;5.55;4.8;3.92;0.035;0.6;FALSE
203;"picea";125.014009039266;66.0132507809875;0;63.66197724;"8E";35.5;11;22.5;5.26;4.3;4.88;4.76;0.035;0.6;FALSE
421;"abies";100.02820957224;20.995367390122;0;42.65352475;"8E";31.4;3.8;22.4;3.08;3.45;3.59;2.5;0.035;0.6;FALSE
807;"pseudotsuga";8.00565848174405;34.0203468832776;0;98.03944494;"8E";50.2;16.8;22.3;11.22;4.89;3.75;7.04;0.035;0.6;FALSE
6;"picea";164.031803817661;51.0018654141735;0;82.44226052;"8E";37.5;15;22.2;4.4;4.72;4.24;5.35;0.035;0.6;FALSE
218;"picea";123.969528145515;33.0000858363386;0;46.1549335;"8E";32.5;16;22.2;2.26;3.44;3.33;1.78;0.035;0.6;FALSE
115;"abies";146.946594067603;55.9642849648083;0;38.83380611;"8E";30.9;4.9;22.2;4.1;3.62;3.91;4.5;0.035;0.6;FALSE
7;"abies";169.950907317355;54.973541856171;0;54.11268065;"8E";37.1;15.4;22;3.63;3.99;4.75;4.53;0.035;0.6;FALSE
12;"picea";170.041731742898;27.9729538825041;0;55.3859202;"8E";37;5.6;22;2.35;1.49;1.99;2.41;0.035;0.6;FALSE
106;"picea";144.033779053401;25.0003461214855;0;73.52958371;"8E";34.7;9.1;22;3.14;2.51;2.83;3.26;0.035;0.6;FALSE
217;"picea";127.962018518366;33.0046270576158;0;43.60845441;"8E";34.6;18.5;22;2.47;3.02;1.92;2.68;0.035;0.6;FALSE
208;"picea";139.945923033729;55.9888832467264;0;33.42253805;"8E";29.4;15.2;22;3.41;1.89;2.65;3.39;0.035;0.6;FALSE
415;"picea";90.9908007955516;27.9907403325063;0;73.21127382;"8E";38.4;12.6;21.8;2.91;3.56;2.35;3.22;0.035;0.6;FALSE
210;"picea";126.988683424625;51.9490884855713;0;59.20563883;"8E";34.3;11.7;21.7;3.22;4.32;3.6;4.83;0.035;0.6;FALSE
500;"abies";74.9784545722266;74.044022174568;0;45.83662361;"8E";28.9;1;21.7;4.39;3.84;3.8;4.81;0.035;0.6;FALSE
305;"picea";117.960357090491;50.9594806822532;0;49.97465213;"8E";34.2;11.7;21.6;3;2.91;2.24;3.19;0.035;0.6;FALSE
514;"abies";68.0493077734678;31.0053543903387;0;66.8450761;"8E";34.4;8.6;21.5;3.93;5.38;3.61;3.56;0.035;0.6;FALSE
109;"picea";155.017858017572;32.965269806547;0;52.83944111;"8E";33.3;4.5;21.5;3.5;2.74;2.64;3.1;0.035;0.6;FALSE
11;"picea";166.966189632931;29.9707128093554;0;42.97183463;"8E";35;7.8;21.4;0.65;3.66;3.13;2.73;0.035;0.6;FALSE
413;"abies";97.0355447505802;36.0101586728939;0;54.11268065;"8E";32.3;7;21.4;4.79;4.06;2.92;4.74;0.035;0.6;FALSE
17;"abies";170.035298346089;5.00232135722508;0;47.74648293;"8E";32.1;5.3;21.4;3.95;4.41;4.34;4.31;0.035;0.6;FALSE
16;"picea";179.000804452555;3.9680582113481;0;44.24507418;"8E";33.3;6.6;21.2;5.03;2.41;3.46;4.14;0.035;0.6;FALSE
216;"picea";138.955179925092;32.984569996975;0;41.69859509;"8E";32.5;18;21.1;1.93;2.5;2.89;1.58;0.035;0.6;FALSE
107;"picea";160.003740544806;25.0185110065942;0;51.24789168;"8E";32.4;11.5;21.1;3.24;4.03;3.82;2.96;0.035;0.6;FALSE
18;"picea";166.038266751961;8.99027050879907;0;57.29577951;"8E";36.4;5.5;21;5.27;4.58;5.7;5.11;0.035;0.6;FALSE
417;"picea";83.9901297616773;28.0153386144243;0;46.1549335;"8E";33.4;12.2;21;2.72;2.78;2.87;3.23;0.035;0.6;FALSE
114;"abies";153.001177335399;50.9292058737387;0;59.52394872;"8E";32.6;12.8;21;5.52;4.55;4.55;4.76;0.035;0.6;FALSE
300;"picea";119.99444578756;74.9443192927683;0;43.29014452;"8E";29.5;15.1;21;3.35;3.49;2.85;2.71;0.035;0.6;FALSE
503;"picea";64.9711166177549;63.9587265881714;0;55.06761031;"8E";33.5;15.2;20.9;3.3;4.04;3.65;3.85;0.035;0.6;FALSE
207;"abies";135.031943176718;57.9745322501719;0;32.1492985;"8E";26.6;3.3;20.9;3.66;3.93;2.13;3.61;0.035;0.6;FALSE
815;"abies";20.0031866609384;45.0271319538346;0;81.80564075;"8E";35.6;13.1;20.8;6.53;4.9;5.07;6.49;0.035;0.6;FALSE
304;"picea";117.988739723473;59.0371780290312;0;46.47324338;"8E";32.8;10.5;20.8;3.16;3.23;3.42;3.34;0.035;0.6;FALSE
